threshold,precision,recall,f1,auc,accuracy
0.0,0.62,1.0,0.77,1.0,0.62
0.01,0.94,1.0,0.97,1.0,0.96
0.02,0.95,1.0,0.97,1.0,0.96
0.03,0.95,1.0,0.98,1.0,0.97
0.04,0.96,1.0,0.98,1.0,0.97
0.05,0.96,1.0,0.98,1.0,0.97
0.06,0.96,1.0,0.98,1.0,0.97
0.07,0.96,1.0,0.98,1.0,0.97
0.08,0.96,1.0,0.98,1.0,0.97
0.09,0.96,1.0,0.98,1.0,0.98
0.1,0.97,1.0,0.98,1.0,0.98
0.11,0.97,1.0,0.98,1.0,0.98
0.12,0.97,1.0,0.98,1.0,0.98
0.13,0.97,1.0,0.98,1.0,0.98
0.14,0.97,1.0,0.98,1.0,0.98
0.15,0.97,1.0,0.98,1.0,0.98
0.16,0.97,1.0,0.98,1.0,0.98
0.17,0.97,1.0,0.98,1.0,0.98
0.18,0.97,1.0,0.99,1.0,0.98
0.19,0.97,1.0,0.99,1.0,0.98
0.2,0.97,1.0,0.99,1.0,0.98
0.21,0.97,1.0,0.99,1.0,0.98
0.22,0.97,1.0,0.99,1.0,0.98
0.23,0.97,1.0,0.99,1.0,0.98
0.24,0.98,1.0,0.99,1.0,0.98
0.25,0.98,1.0,0.99,1.0,0.99
0.26,0.98,1.0,0.99,1.0,0.99
0.27,0.98,1.0,0.99,1.0,0.99
0.28,0.98,1.0,0.99,1.0,0.99
0.29,0.98,1.0,0.99,1.0,0.99
0.3,0.98,1.0,0.99,1.0,0.99
0.31,0.98,1.0,0.99,1.0,0.99
0.32,0.98,1.0,0.99,1.0,0.99
0.33,0.98,1.0,0.99,1.0,0.99
0.34,0.98,1.0,0.99,1.0,0.99
0.35,0.98,0.99,0.99,1.0,0.99
0.36,0.98,0.99,0.99,1.0,0.98
0.37,0.99,0.99,0.99,1.0,0.98
0.38,0.99,0.99,0.99,1.0,0.99
0.39,0.99,0.99,0.99,1.0,0.99
0.4,0.99,0.99,0.99,1.0,0.99
0.41,0.99,0.99,0.99,1.0,0.99
0.42,0.99,0.99,0.99,1.0,0.99
0.43,0.99,0.99,0.99,1.0,0.99
0.44,0.99,0.99,0.99,1.0,0.99
0.45,0.99,0.99,0.99,1.0,0.99
0.46,0.99,0.99,0.99,1.0,0.99
0.47,0.99,0.99,0.99,1.0,0.99
0.48,0.99,0.99,0.99,1.0,0.99
0.49,0.99,0.99,0.99,1.0,0.99
0.51,0.99,0.99,0.99,1.0,0.99
0.52,0.99,0.99,0.99,1.0,0.99
0.53,0.99,0.98,0.99,1.0,0.99
0.54,0.99,0.98,0.99,1.0,0.98
0.55,0.99,0.98,0.99,1.0,0.98
0.56,0.99,0.98,0.98,1.0,0.98
0.57,0.99,0.98,0.98,1.0,0.98
0.58,0.99,0.98,0.98,1.0,0.98
0.59,0.99,0.98,0.98,1.0,0.98
0.6,0.99,0.97,0.98,1.0,0.98
0.61,1.0,0.97,0.98,1.0,0.98
0.62,1.0,0.97,0.98,1.0,0.98
0.63,1.0,0.97,0.98,1.0,0.98
0.64,1.0,0.97,0.98,1.0,0.98
0.65,1.0,0.97,0.98,1.0,0.98
0.66,1.0,0.97,0.98,1.0,0.98
0.67,1.0,0.97,0.98,1.0,0.98
0.68,1.0,0.97,0.98,1.0,0.98
0.69,1.0,0.96,0.98,1.0,0.98
0.7,1.0,0.96,0.98,1.0,0.97
0.71,1.0,0.96,0.98,1.0,0.97
0.72,1.0,0.96,0.98,1.0,0.97
0.73,1.0,0.96,0.98,1.0,0.97
0.74,1.0,0.96,0.98,1.0,0.97
0.75,1.0,0.96,0.98,1.0,0.97
0.76,1.0,0.96,0.98,1.0,0.97
0.77,1.0,0.95,0.98,1.0,0.97
0.78,1.0,0.95,0.97,1.0,0.97
0.79,1.0,0.95,0.97,1.0,0.96
0.8,1.0,0.94,0.97,1.0,0.96
0.81,1.0,0.94,0.97,1.0,0.96
0.82,1.0,0.94,0.97,1.0,0.96
0.83,1.0,0.94,0.97,1.0,0.96
0.84,1.0,0.94,0.97,1.0,0.96
0.85,1.0,0.94,0.97,1.0,0.96
0.86,1.0,0.93,0.96,1.0,0.96
0.87,1.0,0.92,0.96,1.0,0.95
0.88,1.0,0.92,0.96,1.0,0.95
0.89,1.0,0.92,0.96,1.0,0.95
0.9,1.0,0.92,0.96,1.0,0.95
0.91,1.0,0.92,0.96,1.0,0.95
0.92,1.0,0.91,0.95,1.0,0.94
0.93,1.0,0.91,0.95,1.0,0.94
0.94,1.0,0.91,0.95,1.0,0.94
0.95,1.0,0.9,0.94,1.0,0.93
0.96,1.0,0.89,0.94,1.0,0.93
0.97,1.0,0.88,0.93,1.0,0.92
0.98,1.0,0.86,0.93,1.0,0.91
0.99,1.0,0.85,0.92,1.0,0.9
1.0,1.0,0.8,0.89,1.0,0.88
